sessID,task,cohort,group,participant,sessNum,breathIdx,onsetSample,goodBreath,nEv,inhalePeakMs,returnCrossMs,exhaleStartMs,exhaleTroughMs,endSymMs,breathLenMs,inhaleVolume,inhaleDuration,peakInspFlow,breathLength,w1_rfreqPW,w1_rfreqGated,w1_rfreqRaw,w1_rpowZ,w1_rpowDb,w1_bandDb,w1_aucZ,w2_rfreqPW,w2_rfreqGated,w2_rfreqRaw,w2_rpowZ,w2_rpowDb,w2_bandDb,w2_aucZ,w3_rfreqPW,w3_rfreqGated,w3_rfreqRaw,w3_rpowZ,w3_rpowDb,w3_bandDb,w3_aucZ,w4_rfreqPW,w4_rfreqGated,w4_rfreqRaw,w4_rpowZ,w4_rpowDb,w4_bandDb,w4_aucZ,w5_rfreqPW,w5_rfreqGated,w5_rfreqRaw,w5_rpowZ,w5_rpowDb,w5_bandDb,w5_aucZ,p1_rfreqPW,p1_rfreqGated,p1_rfreqRaw,p1_rpowZ,p1_rpowDb,p1_bandDb,p1_aucZ,p2_rfreqPW,p2_rfreqGated,p2_rfreqRaw,p2_rpowZ,p2_rpowDb,p2_bandDb,p2_aucZ,p3_rfreqPW,p3_rfreqGated,p3_rfreqRaw,p3_rpowZ,p3_rpowDb,p3_bandDb,p3_aucZ,p4_rfreqPW,p4_rfreqGated,p4_rfreqRaw,p4_rpowZ,p4_rpowDb,p4_bandDb,p4_aucZ,peakZ,peakLatMs,peakFreq,anyBurst,burstLatMs,timeAboveMs,nBursts,dutyCycle,maxBurstMs,peakZ_base,anyBurst_base,timeAboveMs_base,chirpSlope,freqSpan,freqJitter,apExp,apOffset,gammaBumpDb,gammaPeakPresent
251002_Dupi_NMH_AB_1,threshTask,Dupi,DupiS1,AB,1,1,5323,1,43,456,1510,1510,2162,4324,2162,49.2606095969578,0.456,5994.90367100041,2.162,43.5196335237538,40,44.268,1.51797443950035,-15.1120361950916,-19.7540966805854,0.758987219750176,47.2068954480314,47.0841121495327,47.372,1.98458148050835,-15.5051548431633,-18.8446367001919,0.992290740254177,42.9836565692509,43.0098039215686,42.9,2.62939529220121,-13.410877632604,-18.022724168681,1.31469764610061,43.7868543360607,43,44.16,1.78887991918141,-15.0610211583754,-17.9722325431982,0.894439959590706,31.271460140116,31.9672131147541,31.952,2.86022666804585,-10.9895532885549,-16.6595785922479,1.43011333402293,47.2540072835875,47.0841121495327,47.4780701754386,2.07368787326483,-15.4490818911582,-18.7203880381835,0.945601670208762,43.2789756533912,43.0070671378092,43.5085388994307,2.15401323036894,-14.21264532358,-18.0688119119068,2.27032994480887,31.1065800882435,31.5612648221344,31.6503067484663,2.85632606804094,-11.2173865731268,-16.7814958747126,1.8623245963627,49.0766202288778,49.4803921568627,49.348204570185,2.25223071931253,-14.262499404843,-18.3608195292654,4.13960006209643,6.09915563843896,1922,27,1,268,514,10,0.256743256743257,100,23.9303112192913,1,1928,-3.69114020110036,21,6.50646831416238,1.46473882077644,-0.254273589558364,8.58974644293958,1
251002_Dupi_NMH_AB_1,threshTask,Dupi,DupiS1,AB,1,2,14541,1,43,176,1024,1024,1670,3340,1670,32.5307775217594,0.176,6861.44058926817,1.67,49.9096896099793,52,47.92,0.973215588004877,-13.7275087439911,-17.4405964457001,0.486607794002439,45.8802466507371,45.9690721649485,46.664,2.89509817284463,-9.49951915615593,-13.7026535667104,1.44754908642231,38.8266683571233,39.3548387096774,38.588,1.61598624746718,-14.2022061287916,-17.1808817535495,0.807993123733588,54.1610397421017,55.6764705882353,52.4,2.06276997652924,-13.2845366490021,-16.8152197755825,1.03138498826462,36.3765054313766,NaN,36.452,0.857284965125784,-13.252337713104,-17.581446787688,0.428642482562892,52.7218125130446,52.6666666666667,52.7840909090909,2.30377304450469,-13.7890689140471,-14.6309378553462,0.405464055832825,41.2822014786981,41.9899497487437,40.4433962264151,2.21249784282768,-10.9383099780781,-15.2812695551357,1.87619817071787,53.3114411108601,55.6764705882353,48.9504643962848,1.67988475042281,-13.1381064625671,-16.9889152124465,1.08520554877314,47.1994336633673,55.4545454545455,44.7652694610778,0.790073633014939,-14.9444289492672,-18.8994642147965,1.31942296713495,5.25933485343069,330,43,1,10,306,4,0.152847152847153,172,43.2604756078812,1,1950,-29.4881426674255,19,6.63996405152648,2.54144901861621,1.09622610131665,15.0737905422333,1
251002_Dupi_NMH_AB_1,threshTask,Dupi,DupiS1,AB,1,3,23180,1,43,1876,2348,2348,2676,5352,2676,-94.211876328286,1.876,4957.49841793191,2.676,34.3827580846135,34.1495327102804,34.108,2.40055859486403,-12.9195718909635,-18.145444424074,1.20027929743202,45.2803054524932,45.1117021276596,45.42,2.45348454492128,-15.316003346839,-18.5932973601079,1.22674227246064,51.5666341464471,51,53.772,1.55685338598131,-16.1921758066201,-19.7084861175247,0.778426692990657,50.7155899926706,50.9495798319328,50.78,1.87935420329433,-15.6836912048627,-19.1542446998776,0.939677101647165,45.7464540668017,45.8617511520737,46.472,2.89504265804862,-14.2446326095412,-18.4510415685757,1.44752132902431,48.3491676413361,47.9195612431444,49.6034115138593,2.12976593504669,-15.4064767345379,-18.9914349126499,3.99544089414759,42.3837187006392,42.5190839694656,42.5466101694915,2.15734225986086,-15.1806251689414,-19.5734725242788,1.01826554665433,42.1144880874851,42.4313725490196,41.6890243902439,2.58367226896736,-15.6737653037217,-19.4072484342477,0.847444504221293,47.8811321653649,48.3233082706767,47.5604229607251,1.3027732521543,-17.2742490760379,-20.4003294215137,1.72487178585229,4.59310013556156,520,51,1,186,476,9,0.237762237762238,82,19.2984245076166,1,1854,28.3395940049326,20,5.69308705492289,1.7058347028766,-0.0644455608250233,10.7361625289481,1
251002_Dupi_NMH_AB_1,threshTask,Dupi,DupiS1,AB,1,4,32331,1,43,192,950,950,2544,5088,2544,30.5182530244235,0.192,5086.88673313827,2.544,41.8251653357567,38.6351351351351,41.724,1.4746762021234,-14.4875469680418,-19.6500970575692,0.737338101061698,44.7613788957675,44.8640350877193,45.216,2.98643739720354,-12.136191786711,-16.0732622738952,1.49321869860177,52.5473006200918,53.6842105263158,52.2,2.21131896527526,-13.584029577791,-17.6265926877169,1.10565948263763,53.818666282196,54.6896551724138,53.872,1.22640304035592,-16.866231076957,-18.1218920147038,0.613201520177962,49.3296910791166,48.8604651162791,50.12,2.16519921404161,-14.4735745473074,-17.2214770834602,1.08259960702081,44.1275365403152,43.9285714285714,44.7604166666667,3.3921061365043,-11.4440136416089,-15.4049360047873,0.651284378208825,48.9876686335423,49.3671328671329,49.0949868073879,2.45369854320789,-13.1387676783443,-17.0731105455256,1.85990349575158,52.8706718914468,52.9697732997481,53.1969887076537,2.01851420715693,-14.894288708537,-17.6621635329548,3.21751164620814,47.3836453960987,47.015873015873,47.7211538461538,1.63516661297513,-14.4741774368822,-19.0895403113973,2.3808025884918,4.85954902363744,1814,46,1,42,400,6,0.1998001998002,166,24.0504633986514,1,1932,5.50180231455132,15,5.41353959102397,1.97029332106844,0.139507217745163,11.9105164875305,1
251002_Dupi_NMH_AB_1,threshTask,Dupi,DupiS1,AB,1,5,40881,1,43,2384,3220,3220,3646,7292,3646,-62.2643466345605,2.384,5579.45114107871,3.646,47.5215018452886,46.3287671232877,48.04,1.49326177829488,-16.3567394989434,-20.9092383589533,0.746630889147438,51.1964345500668,51.2521008403361,51.12,1.97420434632816,-15.5931834766466,-19.5209891233934,0.987102173164079,37.1111458480488,38.285046728972,38.92,2.84685823551962,-13.6137703118074,-16.8669289507723,1.42342911775981,34.9402891602015,35.6776859504132,35.744,3.59964125112386,-11.7026090040715,-16.7346239541678,1.79982062556193,47.8112321480062,47.9207920792079,47.464,2.47391220055266,-14.0312347698263,-19.3160451767932,1.23695610027633,40.7871468994275,41.2887029288703,42.4941275167785,2.79150708372292,-13.2154797931249,-17.7314099671228,6.65495288759544,54.9446251054276,54.7397260273973,54.7727272727273,1.70465985094114,-15.4214686591089,-18.7965748117966,1.42509563538679,42.9570867011446,42.5444444444444,43.3568075117371,1.81431603099453,-14.5225437994529,-18.830502399819,0.77289862920367,46.1447771553237,41,46.8983050847458,1.31122310750393,-16.1817305681458,-19.505544903079,0.464172980056393,5.6716742624732,1058,28,1,10,632,9,0.315684315684316,162,63.7002568013021,1,1954,-1.25782583949913,24,8.04023228515942,2.295242939614,0.64074913282947,12.2261893993023,1
251002_Dupi_NMH_AB_1,threshTask,Dupi,DupiS1,AB,1,6,48661,1,43,278,668,668,1820,3640,1820,25.5688720818864,0.278,4178.36026599701,1.82,39.0076253673443,39.1510791366906,38.888,1.866086030297,-14.4425115803776,-18.3610339248817,0.933043015148501,34.254411170094,34.1675675675676,34.96,2.62793067809229,-12.2129985588091,-16.4439892636258,1.31396533904614,46.8768895950448,44.3695652173913,48.244,1.17948318483021,-16.2118017831072,-19.8870677151476,0.589741592415103,45.5805005173589,45.3892617449664,46.04,2.13359005923487,-15.252779882851,-17.2799417915694,1.06679502961743,41.9453683017551,41.957671957672,42.772,2.58553445159226,-14.7976748922299,-17.4721989395589,1.29276722579613,32.2025587048217,32.495145631068,32.4604316546763,2.8645385462831,-11.5013367974277,-15.7679511126001,0.796341715866702,40.0736133001804,39.1796875,40.8769230769231,2.1317919114864,-14.0144324752476,-17.7100279998174,0.831398845479695,43.5572348162376,42.4417808219178,45.4253472222222,1.99200410249991,-15.3996022580229,-17.9980336677223,2.2947887260799,48.8776170610427,48.4884488448845,49.3010989010989,1.64698681108953,-16.0744886174434,-19.6394506392837,2.99751599618294,4.0965520300944,1588,36,1,38,368,7,0.183816183816184,134,21.287355203736,1,1940,22.3961297666477,19,6.90275208422666,2.06483490919415,0.468696668693722,10.8075252861619,1
251002_Dupi_NMH_AB_1,threshTask,Dupi,DupiS1,AB,1,7,57483,1,43,190,1072,1072,1824,3648,1824,33.0675712034167,0.19,5027.85714548401,1.824,43.2370295096467,44,43.584,1.27980112098936,-16.7451533175692,-19.9530739911353,0.639900560494679,36.8237670719789,37.46875,38.056,2.87680955290392,-12.5378368550023,-17.1512230548835,1.43840477645196,50.4218636176069,51.3448275862069,50.332,1.78614410469138,-17.2629522833399,-19.3495426091358,0.893072052345692,47.5577250919371,47.5371900826446,47.564,3.1037852882779,-14.014615332229,-17.278829960947,1.55189264413895,47.6012047982167,48.1258278145695,46.592,2.51705696540094,-14.9684618025036,-18.0928316458014,1.25852848270047,31.0460247363151,31.0454545454545,31.1157894736842,2.81104755298197,-11.6110201377731,-16.9324361669359,0.534099035066575,45.0375469821176,45.7118055555556,46.9138321995465,2.29753765241622,-15.2691752720555,-18.4570032081932,2.02642820943111,48.4433327425115,48.3839285714286,48.1303191489362,3.02432826102621,-13.98354487049,-17.0657325217106,2.27429485229171,40.6033153358112,40.1821705426357,41.6798245614035,1.69677743757819,-15.2513242363191,-19.9528355574841,3.09492204614261,5.0224260683684,1514,51,1,80,662,13,0.330669330669331,138,42.6015112311962,1,1786,51.3557199772339,24,7.46889144246322,1.7002826719149,-0.0028024180585119,9.67892819447082,1
251002_Dupi_NMH_AB_1,threshTask,Dupi,DupiS1,AB,1,8,66460,1,43,182,1046,1046,1326,2652,1326,21.7802709441562,0.182,4596.3371698127,1.326,47.8306969670075,48.2340425531915,47.964,1.19303860535448,-17.9017329144274,-20.6488777269748,0.596519302677238,55,55,55,1.6669051205728,-18.0861785519064,-18.9915240656196,0.833452560286401,52.4667396505191,53.2473684210526,53.36,2.46863142309617,-14.581127687294,-18.0097498006867,1.23431571154809,55.1826688250138,55.1836734693878,55.036,1.82711896100158,-15.6612942260951,-18.8274596515891,0.913559480500788,53.1060501736573,53.0104166666667,53.128,1.74179553268545,-15.4876109140686,-19.4112734668574,0.870897766342723,55,55,55,1.99357394377979,-17.6431389122802,-19.912378410435,0.362830457767921,53.4646570994264,53.9224489795918,54.2106481481481,2.10324874732314,-15.4451764316614,-18.1383983348834,1.8172069176872,55.2422654739141,54.5853658536585,55.1928571428571,1.81512244064021,-15.566559251241,-18.6228104404429,0.508234283379258,49.3540279418712,49.4182692307692,49.3996983408748,1.65263649730449,-16.4491642013727,-19.5014385530059,2.19139599542575,4.36490554025385,762,46,1,694,176,3,0.0879120879120879,104,15.2318172833166,1,1770,-2.2873314972065e-14,12,3.66797362328157,1.85336517658175,0.0613471286721676,9.05686604016461,1
251002_Dupi_NMH_AB_1,threshTask,Dupi,DupiS1,AB,1,9,74233,1,43,208,1770,1770,2514,5028,2514,37.2798617114595,0.208,6087.97656642585,2.514,42.0303804636061,33.030303030303,44.536,1.02079315460573,-14.6891501224121,-18.5321955227136,0.510396577302865,42.3316211079259,42.3061224489796,43.296,2.74310907679828,-11.7281761848317,-17.5534063938153,1.37155453839914,43.9804089707659,39.4520547945205,45.972,1.80538826865183,-15.0650642163969,-18.0227108544311,0.902694134325917,43.6752571495111,43.867816091954,43.24,2.44900396929438,-12.9568631752334,-17.0635229429968,1.22450198464719,56.7119096780617,56.5755813953488,55.748,2.7905564191109,-9.7636723999742,-15.8525662602331,1.39527820955545,33.9368623319774,33.8877551020408,33.9519230769231,3.24090912278898,-9.52345687260417,-16.0758840174704,0.674109097540108,47.9918868013578,47.6056644880174,47.5249679897567,2.36490501341965,-13.1025643789353,-17.2546223759697,3.6939816309615,46.7255117908443,46.5428571428571,47.4650537634409,2.67447643603508,-10.4792429179648,-15.8664488243912,1.9898104684101,39.6020347029089,40.0703703703704,39.6594885598923,1.63862626370344,-12.6133429559408,-17.8353963398016,2.43499862786331,5.02695011338846,1750,58,1,26,642,9,0.320679320679321,214,50.5764169523701,1,1960,50.3282109656612,25,8.33437995599038,2.51019491650531,0.973725533883863,15.9528862313989,1
251002_Dupi_NMH_AB_1,threshTask,Dupi,DupiS1,AB,1,10,83210,1,43,260,1026,1026,1984,3968,1984,39.9680568826282,0.26,4894.93059422853,1.984,54.4339510857293,54.7610619469027,53.936,1.78487732325567,-15.3612956599416,-18.6353996322962,0.892438661627837,53.170656471559,52.8099173553719,53.208,2.05365970057639,-15.2004456670753,-16.1984330074886,1.0268298502882,57.4673494507285,57.7364341085271,57.304,2.06244605044282,-11.335446713067,-17.0198010359832,1.03122302522141,49.084365219723,49.1538461538462,49.228,2.90213676518658,-12.6308780932754,-17.6476813181512,1.45106838259329,43.7001061771092,45.1363636363636,41.96,1.70943791918059,-16.0522128461817,-19.1066715873253,0.854718959590297,51.2040359713982,50,51.5538461538462,1.90326086346241,-16.8980709693726,-16.8140018584864,0.494847824500227,56.6467875009064,56.8047619047619,56.5718015665796,2.15117116904212,-11.9950975802171,-16.4969362442842,1.64779711548626,46.5967683431506,47.8136200716846,45.2108559498956,2.24072660513584,-14.0839877269806,-18.4323767946724,2.14661608772013,47.7332984974375,46.1584821428571,49.0534274193548,1.97966405650207,-15.0846166692615,-18.6716946879808,3.92765348810012,4.96970245602585,2000,50,1,318,408,7,0.203796203796204,114,34.4695218562201,1,1830,12.3160690571049,19,5.7836207459099,1.41659501662681,-0.53586961204097,12.9698718727002,1
