sessID,task,cohort,group,participant,sessNum,breathIdx,onsetSample,goodBreath,nEv,inhalePeakMs,returnCrossMs,exhaleStartMs,exhaleTroughMs,endSymMs,breathLenMs,inhaleVolume,inhaleDuration,peakInspFlow,breathLength,w1_rfreqPW,w1_rfreqGated,w1_rfreqRaw,w1_rpowZ,w1_rpowDb,w1_bandDb,w1_aucZ,w2_rfreqPW,w2_rfreqGated,w2_rfreqRaw,w2_rpowZ,w2_rpowDb,w2_bandDb,w2_aucZ,w3_rfreqPW,w3_rfreqGated,w3_rfreqRaw,w3_rpowZ,w3_rpowDb,w3_bandDb,w3_aucZ,w4_rfreqPW,w4_rfreqGated,w4_rfreqRaw,w4_rpowZ,w4_rpowDb,w4_bandDb,w4_aucZ,w5_rfreqPW,w5_rfreqGated,w5_rfreqRaw,w5_rpowZ,w5_rpowDb,w5_bandDb,w5_aucZ,p1_rfreqPW,p1_rfreqGated,p1_rfreqRaw,p1_rpowZ,p1_rpowDb,p1_bandDb,p1_aucZ,p2_rfreqPW,p2_rfreqGated,p2_rfreqRaw,p2_rpowZ,p2_rpowDb,p2_bandDb,p2_aucZ,p3_rfreqPW,p3_rfreqGated,p3_rfreqRaw,p3_rpowZ,p3_rpowDb,p3_bandDb,p3_aucZ,p4_rfreqPW,p4_rfreqGated,p4_rfreqRaw,p4_rpowZ,p4_rpowDb,p4_bandDb,p4_aucZ,peakZ,peakLatMs,peakFreq,anyBurst,burstLatMs,timeAboveMs,nBursts,dutyCycle,maxBurstMs,peakZ_base,anyBurst_base,timeAboveMs_base,chirpSlope,chirpSlope2,freqSpan,freqJitter,apExp,apOffset,gammaBumpDb,gammaPeakPresent
251002_Dupi_NMH_AB_2,cueTask,Dupi,DupiS2,AB,2,1,16065,1,39,1544,2252,2252,2768,5536,2768,31.7983995334411,1.544,10292.8994515034,2.768,46.0322462583366,46.1636363636364,45.108,1.27473804182813,-14.0351836066381,-18.2023158321423,0.637369020914065,35.3410749732326,35.0227272727273,37.916,2.18412225481587,-11.7045851872534,-16.3985708345943,1.09206112740793,29.1991742377769,29.6526315789474,29.516,1.79199809145381,-10.2974877229144,-14.6931934166878,0.895999045726903,33.9331736057667,33.6374269005848,34.044,2.13600881045233,-9.0958991202499,-14.0934549056905,1.06800440522616,44.8073470332116,45.9855072463768,43.9,2.33952588032336,-13.3986836521431,-16.0590853102114,1.16976294016168,33.1505345714031,33.18407960199,33.9158031088083,2.03186884013453,-10.269898966171,-14.9732525564194,3.13720548916771,43.2639070761952,44.5833333333333,42.228813559322,2.15842638464906,-13.1993480405976,-16.5665789683202,1.52816588033153,50.5134516407707,50.8866666666667,50.3333333333333,2.35864963102928,-10.8908495772103,-15.8015307132172,1.21706320961111,42.4281123057179,44.2857142857143,41.4318181818182,1.84309808897337,-12.0732798943884,-15.5391765222287,2.27069684561519,4.66714708066299,380,29,1,338,330,4,0.164835164835165,164,35.2005705165658,1,1896,-47.300322519446,-8.99877172739792,20,7.28854418061943,2.65514404732884,1.22704790687866,20.4308092918042,1
251002_Dupi_NMH_AB_2,cueTask,Dupi,DupiS2,AB,2,2,28630,1,39,2320,2692,2692,2820,5640,2820,-128.535361435728,2.32,14887.959584062,2.82,54.9407852089291,55.4285714285714,54.796,1.41151730779776,-13.4565751556038,-14.2947469986973,0.705758653898879,55.2833323768712,55.1603053435115,55.36,2.02048753958963,-12.1029380297429,-14.7875077129754,1.01024376979481,55.7879817407451,55.8979591836735,55.68,2.06783146414531,-11.4994014504063,-13.1905190045616,1.03391573207265,57.1624127923063,57,57.26,1.34287484875012,-11.2194365788561,-16.7111894444043,0.67143742437506,50.5615966105554,49.922480620155,52.184,2.07273360409885,-13.0693823316426,-14.7254571569148,1.03636680204943,53.8313281212175,53.5228758169935,54.523275862069,1.97703476618571,-12.1376712577949,-14.8416612555169,4.58672065755085,53.9694968423413,53.7659574468085,54.4838709677419,1.81681422928952,-13.5794198994399,-16.7478971016695,0.6758548932957,57.4189008096444,57,57.484375,1.96245589475116,-10.0231587320964,-15.8030134039158,0.251194354528149,51.2680593398264,49.6393442622951,53.1474576271186,2.00020368820512,-11.8443046247651,-13.1378636005173,2.36024035208204,4.6894544141291,1920,49,1,490,164,3,0.0819180819180819,118,45.8596585629608,1,1990,-3.0620375640296,3.06937879182641,9,2.97026554089659,2.13962611374668,0.629189514223443,17.0978966133205,1
251002_Dupi_NMH_AB_2,cueTask,Dupi,DupiS2,AB,2,3,39468,1,39,2086,2700,2700,2880,5760,2880,-59.8687958590078,2.086,14700.2717845429,2.88,55.0921906455085,55,55.14,2.12592172868978,-10.5574071450867,-16.0760803613543,1.06296086434489,47.8701677652644,46.9895833333333,48.4,2.51666579653279,-12.385636436624,-13.3163057097427,1.25833289826639,45.9753346820042,42.8790322580645,47.624,2.09825147908627,-12.892613727233,-15.4267941814118,1.04912573954313,43.9781361409538,43.792899408284,43.252,2.31294776647391,-13.6260548633192,-14.1072064368,1.15647388323695,40.1387674637786,39.5,40.252,1.4251964094731,-15.3403994605697,-16.1797488387815,0.712598204736552,44.3976324696419,43.7472727272727,44.0910834132311,2.06482733177582,-13.1555144559018,-14.6294140665388,4.30722981408437,34.4138290017567,35.520202020202,34.0130293159609,2.13511988183273,-8.72565594790361,-14.6695122215634,1.3109636074453,43.2855360333681,42.4390243902439,43.7,1.95063164273334,-13.9795768867984,-16.0338415665921,0.351113695692001,50.9789449913053,51.210843373494,51.1178571428571,1.65480504573583,-13.5626369647023,-14.3685558897122,1.85338165122412,4.71094333729268,1272,49,1,0,346,8,0.172827172827173,84,20.6216389815414,1,1962,3.86454183266931,-10.7748352998102,17,5.42662613793821,2.13236759379986,0.687199378074859,18.1294782199303,1
251002_Dupi_NMH_AB_2,cueTask,Dupi,DupiS2,AB,2,4,50990,1,39,2500,3348,3348,3780,7560,3780,-144.777945671528,2.5,21183.8003460134,3.78,47.5822024911263,46.3,47.448,1.40033803892442,-11.7620773470835,-15.5345121072824,0.700169019462208,36.630552975695,36.6555023923445,36.396,3.3699878057433,-7.01268862589428,-12.807212873393,1.68499390287165,52.8879457936817,52.4591836734694,53.792,1.92142319649038,-11.0478704114355,-15.3333108064288,0.960711598245188,50.8421294607342,53.5096153846154,47.496,1.59719644571668,-13.2431370227157,-16.378163821745,0.798598222858339,47.1166123279141,48.29,44.428,1.75075430486036,-13.177597710107,-16.9227174195344,0.875377152430181,43.2026499594582,44.1418439716312,42.48,1.97613798861918,-10.3555961623956,-15.3006643149158,4.94034497154796,48.6194493862719,49.108504398827,49.0377358490566,2.68670689696174,-9.82258585872025,-14.4372333059104,2.27832744862356,37.7868019593138,39.3413173652695,38.212962962963,2.80905486740112,-6.6375320249247,-12.9641732960556,1.21351170271728,42.1115161466797,45,40.2545454545455,1.17563530761875,-13.2032230033012,-16.8597190161954,0.258639767676125,4.90640558825051,458,38,1,98,510,6,0.254745254745255,168,33.2229842770702,1,1438,7.76892430278884,32.7467711318718,22,8.5297561486983,2.51177301273796,1.14940287664743,16.6745128040683,1
251002_Dupi_NMH_AB_2,cueTask,Dupi,DupiS2,AB,2,5,61508,1,39,176,1130,1130,1310,2620,1310,72.7277298087609,0.176,10973.6790938568,1.31,36.6544897864742,35.0970149253731,39.116,2.36697187491425,-10.0275104698951,-14.7222961495367,1.18348593745712,46.115963917022,45.8461538461538,46.3,1.79970289003319,-12.8556470725347,-15.2648385296578,0.899851445016594,49.9207386589891,47.7741935483871,50.588,1.37185454464346,-11.7245837932057,-17.5352866231817,0.685927272321732,53.2403354978224,53.1212121212121,53.496,3.1278047562596,-9.92114866401535,-13.8457658577801,1.5639023781298,49.5054344860978,49.6502732240437,49.804,2.86072375876482,-11.8718619206886,-13.9353062647876,1.43036187938241,43.5581330768245,43.9272727272727,43.6590909090909,2.08658676491742,-11.9075821128219,-13.9576328898333,0.367239270625465,49.9743178027477,49.6,50.2201257861635,1.51765825044429,-11.6933552877795,-16.8024887835751,1.44784597092386,52.7620726418623,53,53.2,3.07301614153515,-9.85875591604915,-13.057873921191,0.553142905476327,50.021339215053,50.3890339425587,49.2916030534351,2.45609265686429,-11.9338229215087,-14.2327448623225,3.21748138049223,5.89329341880384,1938,45,1,0,446,6,0.222777222777223,128,44.7916300312718,1,1350,13.8398785809144,10.7073733576506,21,5.5050265121818,2.8491397072454,1.79224608708188,18.940809696851,1
251002_Dupi_NMH_AB_2,cueTask,Dupi,DupiS2,AB,2,6,72627,1,39,170,1180,1180,1416,2832,1416,70.1476995320283,0.17,13337.7236959464,1.416,39.0160747905782,36.4742268041237,40.236,1.90811538506725,-11.4800886064642,-13.5586516399517,0.954057692533624,32.3259023865021,32.028901734104,32.168,2.56833772584192,-6.4774011629863,-13.0173335888988,1.28416886292096,46.8493599993076,45.8939393939394,48.956,2.20809088033483,-8.3503334313671,-12.9338497633522,1.10404544016742,49.7494810942481,47.8285714285714,51.144,1.45825635693633,-12.6558683917236,-14.8009541619796,0.729128178468163,43.5394090730546,49.1272727272727,42.5,1.53454639427473,-11.7264390302108,-15.472091779845,0.767273197137365,26.7336456177641,26.7857142857143,26.6705882352941,2.36811007338353,-7.18800775831205,-12.8199993301079,0.4025787124752,42.4956727086319,40.5582329317269,45.4653465346535,2.1177980953672,-7.80605628405292,-13.2950984312495,2.13897607632088,50.5321216763287,50,51.2203389830508,1.75701614588453,-14.2027739685673,-14.817594609614,0.414655810428749,48.8879824909371,47.3684210526316,48.5847457627119,1.19768020152448,-10.8986135363829,-15.7741880794134,1.69591516535866,4.03506499953563,556,35,1,10,454,6,0.226773226773227,238,20.8851545138959,1,1662,25.6964522860937,36.2026835895336,30,10.0100369752078,2.04644265033728,0.845615061906614,14.0058216380977,1
251002_Dupi_NMH_AB_2,cueTask,Dupi,DupiS2,AB,2,7,84063,1,39,2498,3318,3318,3486,6972,3486,-318.832268786254,2.498,16036.5694907325,3.486,39.6591917381988,40.6170212765957,38.78,1.83092528780317,-10.9470788793846,-14.112124277447,0.915462643901586,42.9833341460093,42.7456647398844,42.844,2.42365672350759,-11.5192830075587,-15.369113470902,1.21182836175379,48.8631080839829,45,48.96,1.40163722461189,-15.2188176231636,-15.2918626542414,0.700818612305944,40.6681025942386,37.5108695652174,41.916,1.89064763897345,-10.8685244071649,-14.1043973425375,0.945323819486727,45.7028506291211,43,47.372,1.95771140150823,-13.4624916161487,-13.7494679700239,0.978855700754116,46.7047507078308,45.0941883767535,47.5108086469175,1.92172149953997,-11.5262187517528,-14.1887045272714,4.80046030585084,46.0748639607984,47.0173410404624,45.1463414634146,1.80534636050453,-10.9359985841319,-14.9381930509666,1.48038401561371,46,46,46,1.52935507864772,-15.474609942466,-11.5142911820373,0.256931653212817,48.0574494753533,48.0517928286853,48.0038910505837,3.1793000004235,-13.5522537439257,-13.8833272984314,1.63416020021768,4.76443135295819,1698,43,1,260,266,6,0.132867132867133,90,22.7588555553545,1,1678,19.7844811231265,7.64990508802621,15,3.98098433705033,2.01173033340502,0.391018246152407,18.7502568149529,1
251002_Dupi_NMH_AB_2,cueTask,Dupi,DupiS2,AB,2,8,94471,1,39,210,978,978,1326,2652,1326,72.116448387217,0.21,8393.4940699146,1.326,45.3452826296427,44.4651162790698,45.336,1.98948930284488,-11.5328535071792,-14.9381209161969,0.994744651422438,39.6915726548735,39.469696969697,38.588,2.29334755809929,-10.5046828887641,-13.8886470620447,1.14667377904965,41.7061596234702,45,41.704,0.891483705240697,-13.7468033387181,-16.3009646693731,0.445741852620348,49.3868003811075,49.7766990291262,48.824,2.48737350952982,-10.1810035789997,-14.7309264171625,1.24368675476491,46.1113232826928,48.6379310344828,45.188,1.82028827514023,-13.0309465801747,-16.4143897384145,0.910144137570113,41.7453823328394,42,41.4095238095238,2.08102179778305,-12.4995295283594,-14.2093395343139,0.437014577534442,39.5131893981724,38.4086021505376,39.6614583333333,1.45541291077711,-11.6060614394394,-15.1053865806364,1.11775711547682,51.2622522371508,51.5541401273885,51.0574712643678,2.65692554950887,-10.234886844794,-14.6499866228412,0.924610091229085,47.7671499867247,48.2898550724638,47.8174962292609,2.37456697344987,-11.5852099296822,-15.7773505121933,3.14867580679452,4.82989732978753,236,42,1,150,336,7,0.167832167832168,122,11.2156121238279,1,1104,-21.7772718649213,12.174693862359,23,7.44623005188648,2.0526707997707,0.668498530786905,16.1233169576257,1
251002_Dupi_NMH_AB_2,cueTask,Dupi,DupiS2,AB,2,9,104833,1,39,234,902,902,1368,2736,1368,51.3877118071334,0.234,6390.61484868338,1.368,54.9692455110251,56,54.688,1.45310052107908,-10.0990167475082,-15.1532482658879,0.726550260539538,54.7578584410337,54.6170212765957,54.948,2.28639211781396,-8.59306046993133,-12.9574483683946,1.14319605890698,50.88627096225,50.7826086956522,51.072,1.50555747416431,-12.7179717553467,-15.2639724281998,0.752778737082156,48.3119149644935,47.2767295597484,49.524,2.32430248926163,-11.4937113644802,-16.126751146588,1.16215124463082,57.9411960136851,58,57.856,1.52470793889223,-10.9226045278127,-15.9113807210858,0.762353969446114,55.873123211577,56,55.7264957264957,1.85818335238704,-8.08610017880495,-15.1467693418191,0.434814904458566,53.1116937615687,53.3541666666667,52.6467065868263,1.82543816645292,-11.0193966089685,-13.6606758238954,1.21939269519055,47.7042523299633,47.636815920398,47.2103004291845,2.79442654474195,-11.2779074671486,-15.3721855529366,1.30220276984975,54.885198472069,54.4945355191257,55.5292397660819,2.06371080999884,-11.1870456112507,-13.5516686491812,2.82315638807841,4.83656529180843,1054,49,1,178,288,4,0.143856143856144,138,27.1212911106644,1,1738,-5.59134889015368,-9.82394759370232,15,4.35973346276139,2.07465881423562,0.509581513154196,19.8894513080857,1
251002_Dupi_NMH_AB_2,cueTask,Dupi,DupiS2,AB,2,10,116230,1,39,2470,2966,2966,3186,6372,3186,-438.498189351428,2.47,29631.5456571648,3.186,30.3033616470787,33,29.84,1.21202892652685,-8.2846517582344,-14.4508110812797,0.606014463263424,40.5904973729158,40.6565656565657,41.872,3.08231796363709,-8.72780720596092,-13.2343141072348,1.54115898181854,54.6586380382662,54.35,54.728,1.99631935215632,-9.62994227136025,-15.0616789510166,0.998159676078158,45.5989062412978,44.8461538461538,45.836,1.43975336450823,-14.2479679325472,-14.035111203194,0.719876682254116,47.0854860093856,40.0555555555556,48.128,1.59512929780794,-12.0496329585437,-14.3466513478358,0.797564648903971,46.4290702851061,45.6370235934664,47.565991902834,2.05575724708249,-11.0792744461039,-14.2456481504954,5.07772040029375,45.3950711856449,45.21875,45.75,2.24414470311366,-13.3383498009535,-14.8498045267788,1.11309577274438,48.1323239772415,45,48.4272727272727,1.89607925437741,-14.3194091556847,-14.0501090840521,0.41713743596303,38.0039308022896,38.16,38.7764127764128,2.34670088883586,-8.33537425261796,-12.7142260136179,1.91021452351239,5.60532579274028,222,38,1,144,276,4,0.137862137862138,210,46.9828542883938,1,1810,51.5230506545248,17.2915658614657,21,8.64046017261493,2.14713624881078,1.00219089930858,14.4064091741005,1
