sessID,task,cohort,group,participant,sessNum,breathIdx,onsetSample,goodBreath,nEv,inhalePeakMs,returnCrossMs,exhaleStartMs,exhaleTroughMs,endSymMs,breathLenMs,inhaleVolume,inhaleDuration,peakInspFlow,breathLength,w1_rfreqPW,w1_rfreqGated,w1_rfreqRaw,w1_rpowZ,w1_rpowDb,w1_bandDb,w1_aucZ,w2_rfreqPW,w2_rfreqGated,w2_rfreqRaw,w2_rpowZ,w2_rpowDb,w2_bandDb,w2_aucZ,w3_rfreqPW,w3_rfreqGated,w3_rfreqRaw,w3_rpowZ,w3_rpowDb,w3_bandDb,w3_aucZ,w4_rfreqPW,w4_rfreqGated,w4_rfreqRaw,w4_rpowZ,w4_rpowDb,w4_bandDb,w4_aucZ,w5_rfreqPW,w5_rfreqGated,w5_rfreqRaw,w5_rpowZ,w5_rpowDb,w5_bandDb,w5_aucZ,p1_rfreqPW,p1_rfreqGated,p1_rfreqRaw,p1_rpowZ,p1_rpowDb,p1_bandDb,p1_aucZ,p2_rfreqPW,p2_rfreqGated,p2_rfreqRaw,p2_rpowZ,p2_rpowDb,p2_bandDb,p2_aucZ,p3_rfreqPW,p3_rfreqGated,p3_rfreqRaw,p3_rpowZ,p3_rpowDb,p3_bandDb,p3_aucZ,p4_rfreqPW,p4_rfreqGated,p4_rfreqRaw,p4_rpowZ,p4_rpowDb,p4_bandDb,p4_aucZ,peakZ,peakLatMs,peakFreq,anyBurst,burstLatMs,timeAboveMs,nBursts,dutyCycle,maxBurstMs,peakZ_base,anyBurst_base,timeAboveMs_base,chirpSlope,chirpSlope2,freqSpan,freqJitter,apExp,apOffset,gammaBumpDb,gammaPeakPresent
251027_Dupi_NMH_DL_1,audiobook,Dupi,DupiS1,DL,1,1,2199,1,62,586,1170,1170,2002,4004,4822,1213.35162952627,1.206,1.73828743700026,4.822,38.4189930439506,37.55,38.436,1.52029499258988,-0.760782957349847,-6.56133946891844,0.760147496294941,29.4414874071757,25.0196078431373,33.248,1.71493231910799,-0.833016666721069,-7.67725949251208,0.857466159553994,49.6181660857894,50.7272727272727,47.336,2.30753488264087,-6.50317137939508,-6.95283141783454,1.15376744132044,41.3415727822919,38.74,44.472,2.15149611550242,-4.86293914360442,-8.44363974136663,1.07574805775121,31.9679558611499,32,31.964,1.68188288537288,0.191576185851645,-7.41001040207502,0.840941442686442,30.7040679240481,25.0196078431373,34.3856655290102,1.64269015766923,-1.25477789968647,-7.71225249693236,0.962616432394171,51.7209951233537,51.1666666666667,50.8219178082192,2.29732214119338,-7.53991209654567,-7.69707923267355,1.34163613045694,33.8087887089429,34.2183908045977,34.5480769230769,1.95675593901838,-0.93433861436188,-7.42846000116093,1.62802094126329,40.8459271074241,40.9938461538462,40.8498498498498,2.37456687028021,-3.42338012164591,-7.49294485697892,4.74438460681987,5.87651962192499,36,25,1,6,328,4,0.163836163836164,126,48.0298815654249,1,1524,23.6327072661734,30.053876502773,33,12.585023670408,1.73543129530598,0.618057369814953,14.7897836717946,1
251027_Dupi_NMH_DL_1,audiobook,Dupi,DupiS1,DL,1,2,4610,1,62,766,1600,1600,2082,4164,4638,1386.4729525929,1.52,1.61698550176903,4.638,53.6754179561374,55.234693877551,52.92,2.64573810268381,-7.00269435995206,-8.32424993917588,1.32286905134191,34.2108452397077,34.4074074074074,35.012,1.32528427347115,-2.04333794688898,-8.64798973254187,0.662642136735574,34.3691636778794,34.9461883408072,34.752,2.89596178602698,-1.82341294190434,-7.02392488087742,1.44798089301349,52.8148792596556,52.8715596330275,52.288,1.98404613413768,-10.084919060281,-9.63542024156583,0.992023067068838,43.0063601556284,41.4820143884892,45.168,2.17726025829722,-6.15823977134916,-9.79108001818861,1.08863012914861,34.4607548977578,35.1085714285714,35.1357702349869,1.91904685186962,-1.73180152814583,-7.89166134757585,1.46998988853213,45.9580009730429,44.4588744588745,46.8968824940048,2.21319877722772,-6.45300417940885,-8.87211526843784,1.84580778020792,39.8939095411575,39.8512396694215,41.2448132780083,2.0316268450979,-5.7693938105924,-10.1459013348448,0.979244139337189,42.10955706959,40.9495412844037,42.808133472367,2.08198353120677,-2.81726856446326,-8.30655816214936,3.99324441285458,5.05130137548221,740,31,1,688,338,5,0.168831168831169,106,20.0036255866809,1,1770,-13.8929994308481,-0.67266535154649,31,10.7947378896098,1.93284521224665,0.835211614205519,14.4243726974793,1
251027_Dupi_NMH_DL_1,audiobook,Dupi,DupiS1,DL,1,3,6929,1,62,650,1320,1320,1972,3944,4360,1680.72066533334,1.462,1.96808469434719,4.36,46.2751171926838,46.294930875576,46.452,2.78378456836182,-6.92475455167083,-7.43752787844563,1.39189228418091,43.4110345481815,44.5161290322581,45.748,2.82770274418756,-2.55151879031414,-6.89782167142483,1.41385137209378,33.4737998393841,30,35.328,1.49966343757369,-2.30566534753313,-8.41103075472975,0.749831718786847,43.7218099765871,43.1074380165289,43.848,2.07220950038037,-6.21996133517098,-8.19376082168231,1.03610475019018,43.8837980262159,43.6589147286822,43.852,2.11749193793603,-5.74674631912275,-8.42933398024384,1.05874596896801,40.4756726464037,41.0655737704918,42.1138461538462,2.78465094057014,-1.41031985834392,-6.86116928988461,1.81002311137059,40.9870181647652,41.4285714285714,40.5492537313433,1.30515244774393,-6.1968108569609,-9.11871336527773,0.874452139988433,44.2089086846833,44.2061855670103,44.1441717791411,2.30257978740341,-5.69373581191817,-8.14342902210958,1.50128202138702,42.3669172296769,42.326714801444,42.4939148073022,2.05437943185565,-3.42522050641338,-8.6563274927854,4.05123623961934,5.45927974408623,404,29,1,128,468,6,0.233766233766234,164,13.8724691404337,1,1568,-64.1844052361981,-7.71485465440877,25,8.5388865388357,1.48172466602642,0.342502883460993,13.8027799505457,1
251027_Dupi_NMH_DL_1,audiobook,Dupi,DupiS1,DL,1,4,9109,1,62,582,1186,1186,2020,4040,4930,1278.91855178157,1.366,1.69087403466782,4.93,30.1508955970003,29.4787234042553,30.84,1.89419445776796,0.213248218194164,-6.87421019297078,0.947097228883978,33.6870610790277,33.4594594594595,36.62,1.77655478205816,-3.16137221994498,-6.49128767939641,0.888277391029081,31.2010027347907,31.9636363636364,30.708,1.73735193043222,0.554919633646247,-6.1453499145984,0.868675965216108,49.6690022100057,51.0839160839161,48.248,2.19952895374921,-6.52391936461213,-5.63974130631238,1.0997644768746,46.425025643402,46.0375939849624,47.372,2.26486888095745,-3.41462596439443,-6.08894305521214,1.13243444047872,33.0184791195478,33.0762711864407,35.213058419244,1.69141698827164,-3.30267973681056,-6.68911623807053,0.984404687174092,35.8730364349632,35.6853146853147,35.1986754966887,1.92089307214476,-0.144805221114466,-5.98278569570187,1.16021941557544,48.6863209725912,49.3728813559322,48.5611510791367,2.24844017464684,-4.30362672975079,-5.8063945455895,1.87519910565546,44.2014528566107,44.4936708860759,43.3111111111111,1.98166587851659,-0.589502220903615,-6.57457132279232,3.92369843946286,4.269382116982,1838,43,1,256,384,11,0.191808191808192,76,42.0506913148071,1,1836,-25.6964522860938,-4.17677820374438,31,10.063921182798,1.95394627635097,1.01030560027253,16.9362682684206,1
251027_Dupi_NMH_DL_1,audiobook,Dupi,DupiS1,DL,1,5,11574,1,62,602,1116,1116,1960,3920,5500,1124.17467827216,1.426,1.41879058549092,5.5,38.4994590904367,35.1089108910891,41.392,1.66017081018154,-3.32186141041123,-7.03086545218438,0.83008540509077,38.4247696169816,39.3703703703704,37.748,1.71217398975083,-2.17646757471335,-8.25206716284508,0.856086994875417,37.0335915467052,40,35.384,1.21461504252207,-2.22947782077284,-8.38239794122055,0.607307521261033,52.4477148309806,53.8389261744966,49.876,2.20693438143457,-5.49921300744242,-8.05949391731604,1.10346719071728,56.2378204471625,56.3090909090909,56.052,2.56287256628018,-7.98213292297509,-6.07196741168615,1.28143628314009,38.7935248523204,39.5436241610738,38.1295681063123,1.85672296027573,-2.49364515471626,-8.22826259614363,1.11774722208599,35.4280464562435,NaN,35.0700389105058,0.847958271377289,-1.75371546264374,-8.3475535471712,0.435850551487926,54.9973486836565,55.0102040816327,54.8222748815166,2.52944313526118,-8.0208315705048,-6.8331834663893,2.13485000616044,49.3797297291134,49.1327433628319,49.5122448979592,1.49542968241465,-7.26831191177073,-8.39386409882424,2.93104217753271,4.47865458637422,1714,56,1,518,382,5,0.190809190809191,110,22.9141916539039,1,1746,6.69740087269967,-8.85296088137866,19,7.40726913959205,0.931139488936396,-0.150867537659766,10.5060804602231,1
251027_Dupi_NMH_DL_1,audiobook,Dupi,DupiS1,DL,1,6,14324,1,62,938,1580,1580,2158,4316,5424,1067.83738937907,1.656,1.14379811774639,5.424,46.6944928637157,47.0952380952381,45.748,2.41510570164868,-4.86958467531921,-5.08605340519876,1.20755285082434,44.2534162601029,43.6312849162011,45.048,2.63931618851979,-3.87574195939716,-7.64310432242572,1.3196580942599,56.8176370494448,56.5978260869565,56.936,1.81044229119142,-7.80964278838181,-7.32107116891507,0.905221145595708,47.5699927124041,49,47.388,1.3090149648705,-7.71932214147163,-6.82847383025763,0.654507482435252,37.0126571742778,38.3960396039604,34.832,1.83194940989154,-1.8455097280506,-7.39044835690385,0.915974704945771,49.2650009557803,47.7786561264822,51.002132196162,2.2347329499864,-5.31400538450422,-7.46533875142184,2.09617950708724,46.6782832442866,45.6393442622951,47.0498442367601,1.59943419504574,-6.81422187603851,-7.05106098384904,1.02683675321937,34.5846062837991,36.4,33.0899653979239,1.44761676748154,-1.46317110554962,-7.11229701204672,0.83672249160433,43.8626623922123,44.6392961876833,44.5754614549403,1.8562105063025,-1.66807321034609,-6.01221851660819,3.4191397526092,4.04966037836763,1600,42,1,28,348,3,0.173826173826174,164,13.0676028845424,1,1528,17.0893568582812,18.4375814195854,30,7.56989276769218,1.4091613759872,0.2026784319204,14.6904069046402,1
251027_Dupi_NMH_DL_1,audiobook,Dupi,DupiS1,DL,1,7,17036,1,62,732,1618,1618,2086,4172,4634,1191.91597424228,1.604,1.2273765876231,4.634,31.5718517704747,30.1855670103093,33.192,1.70997562645524,-0.603354848782438,-7.17417430940701,0.854987813227622,47.7378213166315,49.4553571428571,44.112,1.82975779422539,-3.23093188220602,-7.25950435367453,0.914878897112693,48.5433521085798,50,47.74,1.18648654977961,-9.01659054700375,-7.50680155515207,0.593243274889804,38.837193694071,36.8345323741007,40.308,2.01565869697968,0.747913325067679,-5.80532591912071,1.00782934848984,42.8090404090972,42.4102564102564,42.2,2.56361174591544,0.202594772790445,-4.87591197976118,1.28180587295772,48.3917904104295,49.5960264900662,45.9153005464481,1.78723768415031,-4.25063541807425,-6.95980160207844,1.30825798479803,39.4459640925341,36.6621621621622,41.3363431151242,1.52179512880161,-0.610197483335915,-6.54296025768555,1.34831048411823,44.0344561219816,42.9251700680272,45.0726495726496,2.57143934008313,-0.90785419611043,-5.06366179500773,1.2034336111589,43.8729803635472,44.586,43.7628004179728,2.17462347276078,-2.97911795123495,-7.24415935500084,4.16222932686412,4.92584043424196,1854,52,1,292,398,7,0.198801198801199,134,33.2645622526697,1,1926,35.7131474103586,-3.24236051661888,18,7.39785074850005,1.3998847825706,0.457939514881207,14.0461797502938,1
251027_Dupi_NMH_DL_1,audiobook,Dupi,DupiS1,DL,1,8,19353,1,62,700,1236,1236,2214,4428,4620,1317.99495886859,1.692,1.42017780214605,4.62,39.3914345482294,39.2712765957447,38.896,2.69230979875082,-0.854558101006256,-6.60424502113093,1.34615489937541,31.9553760732486,31.7380952380952,32.308,1.88772787245059,-0.702117469293827,-7.74974606816901,0.943863936225297,45.1297461534974,45.4528301886792,44.196,1.97668579393075,-5.7778516005499,-8.61349377944227,0.988342896965373,34.6122076044477,34.7368421052632,34.58,1.83488715889535,0.38862547841544,-7.6516978153322,0.917443579447677,52.9902060586778,53.9074074074074,52.244,1.46044244380475,-11.0597064507633,-10.6831959162047,0.730221221902374,34.9279632045045,33.6917808219178,35.4228571428571,1.73409114157821,-1.63520671902649,-8.23051642411671,1.21386379910475,41.2421457895073,41.7272727272727,40.5149253731343,2.15954811392895,-2.05265501927081,-8.04288576746624,1.15751778906592,48.7149058747925,49.5418719211823,47.8834355828221,1.89915732091201,-4.3652987744141,-8.6587671413085,1.85737585985194,43.5967482615398,43.7268170426065,43.4860022396417,2.05108282214655,-3.47345797625167,-7.6911538213803,3.66323392035374,4.09987572875142,1966,54,1,38,250,4,0.124875124875125,114,11.6143178489008,1,1552,7.97533674824512,20.7606915546953,24,8.13007309464526,1.78423703787706,0.819435438627422,14.2839793736319,1
251027_Dupi_NMH_DL_1,audiobook,Dupi,DupiS1,DL,1,9,21663,1,62,596,1096,1096,2230,4460,4378,1272.95287167699,1.476,1.66440992854771,4.378,34.8431482157468,34.9763313609467,35.32,2.41853779629145,1.41866492847051,-4.43345118443584,1.20926889814572,42.5823929975328,41.9908256880734,43.564,3.00541204751935,-0.20150839822072,-4.25991721489301,1.50270602375967,50.1148133001325,56,48.836,1.14593298553435,-7.66594517501271,-6.91758986034787,0.572966492767177,49.3915574637249,NaN,48.696,0.453185853681472,-8.19535406636397,-8.55247165204713,0.226592926840736,34.0261166071474,31.5068493150685,39.168,1.33174110291645,-1.07773594596296,-6.60337781924,0.665870551458227,44.3633797241697,44.0703125,45.5671140939597,2.90720711093694,-0.773237125984252,-4.60707449964128,1.73269543811841,45.6436287631402,NaN,45.764,0.749736937216497,-7.94651149441821,-6.94318944646526,0.374868468608249,41.4057565451284,31.8648648648649,46.3509700176367,0.95808547852993,-3.84132554977311,-7.90819394792604,1.08646893265294,47.0351107604981,48.9803921568627,47.309604519774,1.80498394036731,-2.90186342094656,-7.54088619445691,3.19482157445014,4.45999637878284,230,44,1,68,312,4,0.155844155844156,130,44.9281550059783,1,1444,43.3879719218365,-7.1672497859828,25,8.15339059469347,2.12687961247517,1.05534590050565,17.8957043306189,1
251027_Dupi_NMH_DL_1,audiobook,Dupi,DupiS1,DL,1,10,23852,1,62,602,1010,1010,2378,4756,4576,1134.38249502179,1.786,1.25853220919748,4.576,29.4908371304748,29.6752136752137,29.804,3.03411825762285,0.585724945011494,-6.30423496171481,1.51705912881143,29.9771373409068,30.5740740740741,28.756,2.30484206500865,-0.785730234215751,-7.22513024366193,1.15242103250432,50.9332392156529,52.9239130434783,47.964,3.09190359174903,-4.42025145245658,-5.23593936733285,1.54595179587452,51.4659238312838,49.7768595041322,53.272,2.47223342849068,-8.07300681500904,-7.92804679237041,1.23611671424534,44.2848830202449,43.6910569105691,44.896,1.88252309491614,-2.61247157927158,-6.81237691365364,0.941261547458072,30.0357053496923,30.5412844036697,29.1827242524917,2.10137599570751,-0.823943824521052,-7.22886386043993,1.26502834941592,52.4745101559022,53.0106382978723,52.2107843137255,3.64033990877884,-6.02584684733655,-4.90161448679775,1.48525868278177,47.949383975513,46.6192468619247,48.546783625731,1.85740595848681,-5.1142675552672,-7.99556029359461,2.54093135120996,38.8824838835793,37.2127659574468,40.8273736128237,1.3914885874387,0.295703993315385,-6.95285191664381,2.25699448882557,5.3413835057299,1012,51,1,0,730,11,0.364635364635365,148,32.1421572107555,1,1856,-15.7541263517359,51.5523690773067,30,9.14856819627241,1.64499757602227,0.984477108387649,10.6349945152364,1
