sessID,task,cohort,group,participant,sessNum,breathIdx,onsetSample,goodBreath,nEv,inhalePeakMs,returnCrossMs,exhaleStartMs,exhaleTroughMs,endSymMs,breathLenMs,inhaleVolume,inhaleDuration,peakInspFlow,breathLength,w1_rfreqPW,w1_rfreqGated,w1_rfreqRaw,w1_rpowZ,w1_rpowDb,w1_bandDb,w1_aucZ,w2_rfreqPW,w2_rfreqGated,w2_rfreqRaw,w2_rpowZ,w2_rpowDb,w2_bandDb,w2_aucZ,w3_rfreqPW,w3_rfreqGated,w3_rfreqRaw,w3_rpowZ,w3_rpowDb,w3_bandDb,w3_aucZ,w4_rfreqPW,w4_rfreqGated,w4_rfreqRaw,w4_rpowZ,w4_rpowDb,w4_bandDb,w4_aucZ,w5_rfreqPW,w5_rfreqGated,w5_rfreqRaw,w5_rpowZ,w5_rpowDb,w5_bandDb,w5_aucZ,p1_rfreqPW,p1_rfreqGated,p1_rfreqRaw,p1_rpowZ,p1_rpowDb,p1_bandDb,p1_aucZ,p2_rfreqPW,p2_rfreqGated,p2_rfreqRaw,p2_rpowZ,p2_rpowDb,p2_bandDb,p2_aucZ,p3_rfreqPW,p3_rfreqGated,p3_rfreqRaw,p3_rpowZ,p3_rpowDb,p3_bandDb,p3_aucZ,p4_rfreqPW,p4_rfreqGated,p4_rfreqRaw,p4_rpowZ,p4_rpowDb,p4_bandDb,p4_aucZ,peakZ,peakLatMs,peakFreq,anyBurst,burstLatMs,timeAboveMs,nBursts,dutyCycle,maxBurstMs,peakZ_base,anyBurst_base,timeAboveMs_base,chirpSlope,chirpSlope2,freqSpan,freqJitter,apExp,apOffset,gammaBumpDb,gammaPeakPresent
251110_Dupi_NMH_PC_2,audiobook,Dupi,DupiS2,PC,2,1,2506,1,60,636,1244,4240,2034,4068,4240,1605.39302725739,1.384,2.04538151286936,4.24,47.4877058036494,45.7241379310345,47.644,1.6178872051226,-13.6693795100797,-14.9064388465144,0.808943602561302,53.8759279255052,NaN,53.784,0.960161440986761,-16.8461915225947,-14.3433501990217,0.48008072049338,55.3037035847773,55,55.636,1.83977274249801,-15.1376529169107,-11.919365245145,0.919886371249006,53.0073754837169,53.0982142857143,52.48,1.94110368256029,-14.2434114143742,-13.2414806475855,0.970551841280146,46.4156077889019,47.1843971631206,45.02,2.16932631297382,-12.1548486804187,-14.1322559710803,1.08466315648691,54.5342233292806,NaN,54.3805031446541,1.02039538578191,-16.8988587208641,-14.03027174061,0.648971465357292,55.9502524182127,55.7955801104972,56.1578947368421,2.11779671014302,-14.570586902059,-12.5449658878769,1.28762039976696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.5154917221004,35.3623595505618,36.0254323499491,2.59400441529369,-6.2466821617027,-11.3227225440362,5.0998126804674,4.11429773774847,1776,53,1,828,204,13,0.101898101898102,72,29.2450748183271,1,1894,1.7476759628154,2.283656530316,22,5.69286970489817,2.53105328836252,1.46816902500951,10.2437546716614,1
251110_Dupi_NMH_PC_2,audiobook,Dupi,DupiS2,PC,2,2,4626,1,60,636,1382,4478,1966,3932,4478,1424.63136190692,1.404,1.58670745571126,4.478,40.2781549081073,39.2872340425532,40.776,2.40174563794868,-9.14913653161978,-10.87355536541,1.20087281897434,51.4138405026491,51.6142131979695,51.248,2.78733099785229,-12.9180158885712,-12.1985060785565,1.39366549892615,45.3144932693466,45.855421686747,44.96,1.82254040271603,-12.5701697740761,-13.0486125320433,0.911270201358016,42.3498852933138,45.5714285714286,39.424,1.86209263937392,-8.20322435911432,-12.8986489645775,0.931046319686959,43.2917519837675,44.4677419354839,42.672,2.47988271806598,-8.00035672369134,-13.1497958012869,1.23994135903299,50.0831580502561,50.1893939393939,50.125786163522,2.90543189175444,-12.3323331386544,-11.8220319199283,1.84785468315583,38.5602469000076,35.7407407407407,39.343163538874,1.3989951886485,-9.36867929991008,-13.4736537585492,1.04365041073178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.9579713019616,42.525462962963,40.8382502543235,1.80865434825135,-9.41730264557127,-13.1431123647584,3.55581444866216,4.58370975240366,1472,57,1,0,580,12,0.28971028971029,164,13.356171854962,1,1070,14.437108708025,-14.689116760338,26,9.47440071554371,2.52701872043256,1.32040231095498,13.5517537064305,1
251110_Dupi_NMH_PC_2,audiobook,Dupi,DupiS2,PC,2,3,6865,1,60,652,1196,4826,1954,3908,4826,1061.71142728669,1.282,1.44751088288073,4.826,34.3523903678349,32.472049689441,36.16,2.32135902116064,-6.47044464195587,-12.1418836165571,1.16067951058032,44.5036874451381,44.6666666666667,44.088,2.05435352677981,-12.8472297350554,-14.3379788948526,1.0271767633899,38.8887415012882,38.6774193548387,39.168,2.26820194431477,-11.3714406946922,-11.8791036755453,1.13410097215739,42.6999826621871,44.3493975903614,41.52,1.72150506059546,-11.5490806455381,-15.2948868961753,0.860752530297729,54.4105745599867,54.4732824427481,54.228,2.33711349756486,-13.9820694565271,-12.8544839957299,1.16855674878243,43.5472105855326,44.0595238095238,42.9018404907975,1.90680501568084,-12.8368565929178,-13.3991676931766,1.24323687022391,39.3616514505532,38.7021276595745,39.875,2.20166568177111,-11.5557330084355,-13.2215533186599,1.19770613088349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.7525650852613,44.9283216783217,44.0870010235415,2.13928537101596,-10.5697517897639,-13.600481190789,4.18016361496518,5.02688230067676,1582,55,1,200,486,13,0.242757242757243,152,11.6450637561194,1,1492,-32.5949535192563,-2.31892284214836,18,7.39345253801812,2.55630179256313,1.43365335937932,12.9398844265698,1
251110_Dupi_NMH_PC_2,audiobook,Dupi,DupiS2,PC,2,4,9278,1,60,710,1492,4332,2040,4080,4332,1116.84038688302,1.486,1.31479362543801,4.332,51.2855612455713,50.6020408163265,52.976,1.95849909587459,-13.2431926592262,-11.1980237753227,0.979249547937293,57.4548507170018,57.5040650406504,57.384,1.90145263606565,-16.2811157572419,-12.911095625947,0.950726318032827,43.328869904826,43.6515837104072,43.336,3.00665858303507,-10.3263726557126,-13.1659105749265,1.50332929151754,51.8113419014308,51.4852071005917,51.948,2.70619495500817,-13.6343124948897,-12.4048136659567,1.35309747750409,48.8930707813958,47.4357142857143,50.096,2.21606509934101,-13.5970755760518,-14.3725043791126,1.10803254967051,51.6032796749816,51.5401785714286,53.5408450704225,2.30657840708694,-13.3119916232484,-12.6007727970617,1.63767066903173,48.5118428071718,47.9861111111111,48.4296675191816,2.75507483539298,-12.2608456639833,-13.0013583720352,2.15446852127731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.9825245945651,41.5994694960212,43.3561224489796,1.80844971185022,-9.19906825394168,-11.737496681922,3.54456143522642,5.21509544241434,1310,52,1,366,608,22,0.303696303696304,138,21.2261896440078,1,1798,0.905710491367866,-25.4896341236461,19,6.62660211698516,2.42974297591419,1.34686496752942,9.9808735044982,1
251110_Dupi_NMH_PC_2,audiobook,Dupi,DupiS2,PC,2,5,11444,1,60,654,1300,3912,1974,3948,3912,1258.36229036389,1.354,1.52088740634304,3.912,38.375255140077,38.3533333333333,38.4,2.20039243995452,-9.251060005468,-12.6615774973402,1.10019621997726,48.3470997607777,47.1724137931034,48.016,1.44021052402866,-13.9955290450738,-13.6852153428127,0.72010526201433,51.2138919694043,51.6987447698745,51.832,3.35792028986444,-12.1631107745618,-12.3436329560802,1.67896014493222,37.986518303473,37.8040201005025,38.576,2.73557794035088,-7.75153650619168,-10.4268015032811,1.36778897017544,42.6902052139938,46.59375,41.648,2.14563719742385,-8.73707524520023,-13.0213491741566,1.07281859871193,50.7252291743337,52.9607843137255,49.743119266055,1.68833566433193,-14.210178129857,-13.7340001139724,1.10417152447308,46.9882129543233,46.6603773584906,46.0061919504644,3.0753514897071,-11.2777254308748,-11.1537892153939,1.98667706235079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.4568425843934,45.5929919137466,48.2715298885512,1.72923086234598,-10.2451984330664,-13.106344864773,3.41350172227096,4.97346422730441,948,46,1,632,520,12,0.25974025974026,164,13.7837171139114,1,1686,33.7150445835705,-1.69175940745152,25,7.59834632509228,2.01581766939664,0.856930866797901,10.54786929176,1
251110_Dupi_NMH_PC_2,audiobook,Dupi,DupiS2,PC,2,6,13400,1,60,522,1088,3960,2032,4064,3960,2494.3185456252,1.218,3.15713686429328,3.96,54.4241190726296,57.5909090909091,52.484,1.60287304770233,-14.6412788224293,-14.2837279259511,0.801436523851163,48.6736136994997,48.5283018867925,49.484,2.93615519704423,-10.7566872716155,-11.0884625997899,1.46807759852211,45.8389570452505,48.5694444444444,44.008,2.28163512871935,-8.27074010740868,-13.2858214851341,1.14081756435968,37.0756329083097,35.1428571428571,38.784,2.87952960867475,-5.39813360583453,-10.6716138780488,1.43976480433737,48.2665626779198,48.8774193548387,49.128,2.37629151283025,-11.6072989975253,-12.5038533292157,1.18814575641512,48.9239485982644,48.8823529411765,49.6743295019157,2.95110837325051,-10.7826090293539,-11.1583350137573,1.54047857083677,43.1075685581686,44.9717514124294,42.2897526501767,2.42051673607376,-7.72728143642741,-12.6002581132504,1.37001247261775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.0646509748128,32.986013986014,33.5558943089431,2.04845546145523,-5.48011196000943,-12.3947761011915,4.0313603481439,5.8843569648383,164,47,1,94,696,10,0.347652347652348,200,35.73818675526,1,1970,9.9533295389869,-24.1564000446644,24,8.37722772797954,2.28861259370808,1.37769930000604,11.4239129537829,1
251110_Dupi_NMH_PC_2,audiobook,Dupi,DupiS2,PC,2,7,15380,1,60,642,1124,3658,1830,3660,3658,1729.55869472118,1.236,2.35815320986206,3.658,40.6179290215031,40.5652173913044,41.644,1.90581918663956,-6.59715067085811,-12.1462749826489,0.95290959331978,35.3939333512566,33.8319327731092,34.828,2.0180052369488,-5.96904361411457,-12.9847127626591,1.0090026184744,49.8876050236527,49.0190476190476,50.428,2.09571450481801,-13.8086394814469,-14.0651810486055,1.04785725240901,32.7203924125052,32.7384615384615,32.784,2.63146079567185,-7.93952970812516,-14.1414714633115,1.31573039783592,35.9854855322555,36.5353535353535,35.42,1.94580750667976,-10.5533590834701,-15.5484509487413,0.972903753339882,39.0949809955548,36.6785714285714,39.1588785046729,1.9598030437398,-6.94796841685183,-13.3064914042274,1.25819355408095,42.9657035624743,41.2465753424658,44.5145228215768,2.50522416123914,-10.3593126522516,-13.2334479389595,1.20751804571726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.2292751397485,44.4913580246914,44.3333333333333,1.93183214457599,-12.5005311909908,-13.4355675458771,3.53525282457406,4.46215129088703,1812,38,1,388,456,7,0.227772227772228,136,12.7791058481904,1,1690,47.2092582052741,8.17582908400641,31,7.95756108548098,2.46483187598384,1.35015067070095,9.01232414835066,1
251110_Dupi_NMH_PC_2,audiobook,Dupi,DupiS2,PC,2,8,17209,1,60,770,1418,4162,1906,3812,4162,1195.53967720288,1.426,1.47125891244534,4.162,47.2234391585207,52.9512195121951,46.408,1.5469108442005,-14.0997873869905,-12.9128509218694,0.77345542210025,49.4049681287662,41,47.78,0.958671572416669,-15.3348742167364,-13.6787755628111,0.479335786208335,46.0071203384029,43.6229508196721,48.34,1.29870505422374,-14.3482641679615,-12.9602521076707,0.64935252711187,42.7605538779469,42.0588235294118,43.148,1.90243469010881,-10.7362286088445,-13.0776415003965,0.951217345054405,36.2254902241259,35.9618320610687,36.672,2.41061244901648,-8.2744876043413,-11.1791210248202,1.20530622450824,48.3834364255652,41,48.6285714285714,0.941675050387558,-15.372532890237,-13.8515214151792,0.725089788798419,44.9808973626227,45.3557692307692,45.1203703703704,1.78281055606493,-12.2997598290284,-12.7102868746411,1.15526124033007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.9663420216259,39.6657142857143,41.3137460650577,1.87595273574701,-10.1527318736444,-13.9732514446335,3.5755659143338,4.74939020072486,1676,33,1,1232,180,4,0.0899100899100899,74,17.6497426846392,1,1300,-35.8971732119143,3.59297651393903,21,5.75995967534538,2.01406453390596,0.835998095969441,9.12783243235093,1
251110_Dupi_NMH_PC_2,audiobook,Dupi,DupiS2,PC,2,9,19290,1,60,634,1158,3970,1884,3768,3970,1024.29825369581,1.312,1.41039511227666,3.97,43.5540943943132,46,38.684,1.26298168588911,-10.9482547940825,-15.3219524937461,0.631490842944557,48.1836879606172,48,47.524,1.87656026316519,-12.4763058077202,-12.2150552144328,0.938280131582595,46.6683570019511,45.527397260274,48.496,2.2972800047857,-12.6836081559975,-12.3258548565264,1.14864000239285,55.5493259813383,55.9431818181818,55.212,1.65960554924631,-14.9405236821344,-14.1824322170856,0.829802774623153,56.8209782488327,56.7567567567568,56.964,2.0006288584809,-15.0446972861267,-12.7770664214698,1.00031442924045,47.6377747766373,47.5228426395939,47.3186119873817,2.10473926044154,-12.3242780819401,-11.389744859203,1.33440469111994,50.2307527164567,49.5547445255474,51.8587786259542,2.06309272695952,-13.6258501065649,-14.3557745320302,1.08106058892679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.0705098594154,47.2181425485961,47.8174097664544,2.04548765942944,-10.8502616446176,-13.080066953143,3.85369875036506,4.21642518752931,766,45,1,252,336,11,0.167832167832168,116,31.8145450550464,1,1682,13.9457408461392,6.15159861540179,13,5.08610935631855,2.17959077314051,1.04662830713782,9.86043068374342,1
251110_Dupi_NMH_PC_2,audiobook,Dupi,DupiS2,PC,2,10,21275,1,60,644,1146,4042,1930,3860,4042,898.720487223849,1.276,1.35311441311209,4.042,50.0548027986571,NaN,49.548,0.501672932774172,-15.3022179538191,-15.0754957689371,0.250836466387086,45.8060817005444,39.3157894736842,46.532,1.06642096784667,-13.7400719840967,-12.9270369507482,0.533210483923335,26.3271842468294,26.6434782608696,26.144,2.21940602174823,-2.51852985513106,-10.2180259768387,1.10970301087411,42.9569781309975,42.9014084507042,42.788,2.48408895134161,-7.70153634688477,-11.2443892107439,1.2420444756708,48.1543106498516,53.1612903225806,48.14,1.41424757825605,-13.2909979232479,-14.1148307404647,0.707123789128027,36.3925649717709,29.4367816091954,42.0962732919255,1.62844919953242,-6.7312527547222,-11.4264489239534,1.04872128449888,28.80830448667,29.8712871287129,27.609561752988,2.04896158953106,-3.52198584239379,-10.6275181803775,1.02857871794459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.7689069213885,37.1303370786517,35.9430051813472,1.94577485704277,-6.89796547098676,-11.5601594511177,3.75534547409255,4.86417195438637,550,27,1,500,332,7,0.165834165834166,96,14.6382436090041,1,1288,-5.39480174539935,-37.5246585029962,30,11.0246191854117,2.49222147683089,1.36754540833784,13.1388082462988,1
