sessID,task,cohort,group,participant,sessNum,breathIdx,onsetSample,goodBreath,nEv,inhalePeakMs,returnCrossMs,exhaleStartMs,exhaleTroughMs,endSymMs,breathLenMs,inhaleVolume,inhaleDuration,peakInspFlow,breathLength,w1_rfreqPW,w1_rfreqGated,w1_rfreqRaw,w1_rpowZ,w1_rpowDb,w1_bandDb,w1_aucZ,w2_rfreqPW,w2_rfreqGated,w2_rfreqRaw,w2_rpowZ,w2_rpowDb,w2_bandDb,w2_aucZ,w3_rfreqPW,w3_rfreqGated,w3_rfreqRaw,w3_rpowZ,w3_rpowDb,w3_bandDb,w3_aucZ,w4_rfreqPW,w4_rfreqGated,w4_rfreqRaw,w4_rpowZ,w4_rpowDb,w4_bandDb,w4_aucZ,w5_rfreqPW,w5_rfreqGated,w5_rfreqRaw,w5_rpowZ,w5_rpowDb,w5_bandDb,w5_aucZ,p1_rfreqPW,p1_rfreqGated,p1_rfreqRaw,p1_rpowZ,p1_rpowDb,p1_bandDb,p1_aucZ,p2_rfreqPW,p2_rfreqGated,p2_rfreqRaw,p2_rpowZ,p2_rpowDb,p2_bandDb,p2_aucZ,p3_rfreqPW,p3_rfreqGated,p3_rfreqRaw,p3_rpowZ,p3_rpowDb,p3_bandDb,p3_aucZ,p4_rfreqPW,p4_rfreqGated,p4_rfreqRaw,p4_rpowZ,p4_rpowDb,p4_bandDb,p4_aucZ,peakZ,peakLatMs,peakFreq,anyBurst,burstLatMs,timeAboveMs,nBursts,dutyCycle,maxBurstMs,peakZ_base,anyBurst_base,timeAboveMs_base,chirpSlope,chirpSlope2,freqSpan,freqJitter,apExp,apOffset,gammaBumpDb,gammaPeakPresent
260316_Dupi_NMH_PD_2,cueTask,Dupi,DupiS2,PD,2,1,17002,1,40,246,1488,1488,2260,4520,2260,605.503443496161,0.246,39600.5922227876,2.26,44.6284872721222,37,46.768,1.24043971162404,-0.989739662215704,-4.51785430793541,0.620219855812018,43.789361674214,43.6892655367232,42.3,2.62178762808929,4.36702314052109,-2.83493635566841,1.31089381404465,48.09409584831,47.9944444444444,46.404,2.79633737867567,2.02645424496578,-2.50863731966616,1.39816868933784,50.8148862466117,NaN,50.968,1.26869020523512,-1.47319515108551,-5.38292819634017,0.634345102617559,43.4653997687357,44.1157024793388,42.692,2.08617062729626,2.08692524619493,-3.36510874987924,1.04308531364813,36.0404755655968,33.82,36.8536585365854,1.74352991420981,0.576143721441301,-4.03738594244672,0.428908358895613,48.5422566682078,47.8208469055375,48.4847020933977,2.3297070609825,2.52431120067011,-3.28946172120144,2.89349616974027,42.2368063269228,42.4385026737968,41.7512953367876,2.03311427401889,2.07729063988324,-3.70399976553776,1.56956421954258,35.853381897147,36.2559366754617,35.5781609195402,1.87702791301314,0.510133611295647,-4.36793392179485,3.26602856864286,5.87307134313956,624,53,1,264,470,6,0.234765234765235,182,135.874988945654,1,1932,35.1584139631948,-4.65496705996204,20,5.54726555329064,2.8498404277583,2.69621888761287,21.374944195732,1
260316_Dupi_NMH_PD_2,cueTask,Dupi,DupiS2,PD,2,2,28798,1,40,500,1114,1114,1902,3804,1902,1556.90669399221,0.5,52385.1811061133,1.902,45.8135887610341,56,46.368,0.781330351785005,-0.415119237161873,-5.09052963112649,0.390665175892503,51.3687221921506,50.593984962406,52.18,2.67483752939382,1.70807301770257,-2.38217033651419,1.33741876469691,55.3547842254512,55.3012048192771,55.612,1.71748526951835,-4.13403029318541,-3.6077443583264,0.858742634759176,53.4995438724499,53.0428571428571,53.904,1.95897826291032,-3.4734055392294,-2.50802800945681,0.979489131455159,42.8680444587219,53,40.108,1.0556374362471,-1.70207615351774,-4.6643688256475,0.527818718123552,51.3687221921506,50.593984962406,52.18,2.67483752939382,1.70807301770257,-2.38217033651419,1.33741876469691,55.7958705275455,55.7373737373737,56.0553745928339,1.67848960609576,-4.43580657814892,-3.77279020593651,1.03059261814279,49.3766616643323,52.5,46.6675126903553,1.60511279045754,-2.73302704281965,-3.22516345488668,1.26482887888054,36.8669153818883,36.0183299389002,37.8065194532072,2.22140076895974,3.55103445215289,-1.96948679778427,4.22510426256143,5.43427310438113,320,50,1,222,234,3,0.116883116883117,166,103.465477701147,1,1974,-13.0005691519636,12.7161573677746,9,2.61878078044026,3.01183532728587,3.12491550971392,19.6680956797594,1
260316_Dupi_NMH_PD_2,cueTask,Dupi,DupiS2,PD,2,3,39740,1,40,352,1336,1336,2240,4480,2240,1181.59073839434,0.352,79821.2887263535,2.24,47.2680610544101,48.2307692307692,43.404,0.830952240468728,-2.49374101108288,-4.46334180629502,0.415476120234364,53.0368761941894,52.7543859649123,52.888,2.91252797059074,-0.811468551201973,0.242020476993065,1.45626398529537,51.0295395019885,51,51.04,2.48565979822847,1.53006939086,-4.28101478674338,1.24282989911424,52.8874459673259,58,51.068,0.975958485063066,-1.62755660154804,-5.26474338320678,0.487979242531533,45.9561090975423,45.5762711864407,46.296,2.37712757589361,1.33836114121242,-2.61360466730643,1.18856378794681,53.5883941314117,53.3766233766234,53.4886363636364,3.03882332922407,-0.740545368024135,1.30142043460442,1.06966581188687,52.0148594941705,51.3146853146853,52.4573170731707,2.03982525801979,0.0015437095403815,-4.65742496475118,2.00718805389147,45.7204705502089,45.5491525423729,45.4889380530973,2.4263977074608,1.92231299685579,-2.60906807103365,2.19346352754456,43.3121057034514,41.5824915824916,45.9852272727273,1.5518560522627,1.0061502774769,-3.117866464009,2.73126665198235,4.57823026768933,104,55,1,60,400,6,0.1998001998002,114,83.5272919701894,1,2000,-8.85752229178524,5.10356571258421,17,4.9106144274483,3.17347643932021,3.36837678995123,15.8886899620153,1
260316_Dupi_NMH_PD_2,cueTask,Dupi,DupiS2,PD,2,4,51497,1,40,120,1190,1190,1598,3196,1598,233.54892061099,0.12,69731.878047822,1.598,52.492809301077,52,53.588,1.61176510574699,-4.46186084485027,-4.47227177013302,0.805882552873494,47.2352800558562,47.4112903225806,47.428,3.23691123696245,5.58410489924074,3.11860064042444,1.61845561848122,46.2986971174615,44.0612244897959,46.672,1.84973464496695,3.52669620831745,-2.79327949552919,0.924867322483474,49.606683938132,49.3533333333333,50.068,1.97600951569834,-1.75856054347781,-3.3756134539475,0.988004757849168,37.1565677820051,37.0081967213115,39.248,2.10956825644007,3.95507534151543,-1.86408772055759,1.05478412822004,55.1625545308615,55.2033898305085,55.15,3.01045475026218,0.126649227546753,2.84463577174771,0.361254570031461,46.297273089219,45.8155080213904,46.6280373831776,2.50687636743046,4.45525628239786,0.391136889270378,2.6823577131506,49.4434966759958,49,50.2352941176471,1.27543434293322,-3.28955916963896,-4.69310760865226,0.520377211916754,35.8823773358879,36.010989010989,35.5294117647059,2.13857124924671,4.60705508188219,-1.81334274205012,3.41743685629624,4.85383212936953,174,44,1,40,530,11,0.264735264735265,92,64.358121248553,1,1858,-19.371656232214,10.6159973201325,22,5.68413984347712,2.44548375302534,2.49965493261509,15.1930289015433,1
260316_Dupi_NMH_PD_2,cueTask,Dupi,DupiS2,PD,2,5,62121,1,40,538,1196,1196,1956,3912,1956,1905.63093223234,0.538,53448.6520096302,1.956,37.150078931389,37.1942446043165,37.064,2.16872965818029,2.69981747372782,-3.30176811964065,1.08436482909015,48.3612657029305,47.5851851851852,47.812,2.68166834561546,2.11683069131009,-1.57800109269025,1.34083417280773,45.1212243745615,50,45.276,1.3170050172279,0.311138992360803,-4.53219247737102,0.65850250861395,48.1977533806512,48.3793103448276,48.116,1.54596094499308,-0.593712813814269,-6.33491900132611,0.772980472496538,47.4883524032654,45.8409090909091,48.432,1.89128959293961,0.00461797877800473,-4.69853206917955,0.945644796469804,48.1571706137831,47.5851851851852,47.4014869888476,2.5748690217551,2.07059225743957,-1.69254713294879,1.38527953370424,46.1697915216916,49.5416666666667,46.2006079027356,1.3756216314792,-0.13377267551864,-4.81480069445125,0.905159033513312,48.0224039844767,46.4712643678161,48.6,1.73233211731317,-0.280640059194689,-5.70596289794568,1.31657240915801,36.7137628245353,35.31330472103,37.3916155419223,1.57366855997311,0.826177999993746,-3.9679472252983,3.0780957033074,6.13526230607578,204,52,1,94,278,4,0.138861138861139,120,106.170659043434,1,1992,34.1301460823373,-8.18290095656381,12,4.22302761820841,2.808159315972,2.4183341145074,18.3361971337395,1
260316_Dupi_NMH_PD_2,cueTask,Dupi,DupiS2,PD,2,6,73327,1,40,394,1076,1076,2304,4608,2304,1332.75371918736,0.394,59508.2630044487,2.304,50.4033675785855,50.6404494382022,50.624,1.65584647397495,-3.26464350283104,-4.51530332969243,0.827923236987474,51.5945659596203,51.6577540106952,52.852,2.85810324284188,-0.410615821808421,-3.6027215107287,1.42905162142094,51.5247524169289,50.3741935483871,51.824,2.19210774602999,-0.47236043586406,-4.69304887431889,1.096053873015,50.6310003893442,50.8888888888889,50.312,2.78546719591075,-0.625250148376302,-3.18484851952461,1.39273359795538,37.8760283487173,38.2538461538462,39.864,2.30595289369492,3.32338370683073,-1.53031051516507,1.15297644684746,54.3715462378002,54.4402985074627,55.0659898477157,2.58511044111839,-3.93444894976386,-3.99388215530885,1.01853351380065,50.4986069343366,49.9285714285714,51.2815249266862,2.49182831930359,0.492280339972186,-4.26197510006965,1.69942691376505,42.3341114451513,41.6019417475728,42.4837133550489,2.53156239059669,3.85164315562205,-2.00052560113661,3.10875861565274,43.7847838691258,46.0290237467018,41.9846698113208,1.80502620692577,1.5211633068303,-3.40573424015985,3.06132444694611,5.23876327352218,1774,32,1,114,666,8,0.332667332667333,170,47.4196296993261,1,1902,-30.2747106810852,9.18831652212751,26,7.87759002807259,3.08012258979214,2.76548980278302,21.6526954604813,1
260316_Dupi_NMH_PD_2,cueTask,Dupi,DupiS2,PD,2,7,84986,1,40,424,1272,1272,2334,4668,2334,1568.45888182383,0.424,61781.9360897067,2.334,51.5105162935017,NaN,49.96,0.64934304890383,-5.03284318481284,-5.87769364595093,0.324671524451915,45.0987177280398,45.3333333333333,44.568,2.50232625100373,1.22111460086636,-5.42869985655345,1.25116312550187,41.4249545541283,40.8556701030928,42.548,2.07138039657644,3.96628624472491,-2.8832802342376,1.03569019828822,48.58622179854,48.4955752212389,48.512,3.09406488512279,0.72330555725043,-2.57131890787556,1.54703244256139,39.6391576975057,32.1351351351351,38.82,1.20350617442003,-1.15002639085249,-3.91484769284165,0.601753087210016,44.8303035240176,45.063829787234,44.311320754717,2.27371342936283,1.03403095539116,-5.54804695863632,0.964054494049841,44.1212975723379,44.3333333333333,44.1910377358491,2.53336684852986,3.26643986476197,-2.76174055119526,2.14829508755332,42.2707860093465,41.76,40.2975517890772,1.79872833406024,0.768649634497994,-3.26888960473204,1.91024949077197,35.9986732949089,36.3542976939203,36.6890756302521,2.26038392611165,1.39113481717595,-3.3913490988315,3.76579962090201,5.39587837786231,1258,49,1,300,588,4,0.293706293706294,204,25.6392605613776,1,1738,6.84613925251372,-7.86503889529907,26,5.94442439143776,2.36902818333736,1.79464809394396,20.6619517214036,1
260316_Dupi_NMH_PD_2,cueTask,Dupi,DupiS2,PD,2,8,95396,1,40,358,884,884,1536,3072,1536,773.526911591256,0.358,29841.5522781504,1.536,48.962446791332,49.2222222222222,48.948,2.00273825132373,-5.76769774478738,-5.14196265974357,1.00136912566186,45.2916267653289,45.3849765258216,45.064,2.80604026106755,-1.6216403877328,-5.96336396635525,1.40302013053377,51.7112373884701,56,49.896,1.46917080396059,-2.57132997728639,-6.7933614514376,0.734585401980297,49.8424901880517,50.1538461538462,49.736,1.57067152482009,-4.8111983289221,-3.97417080984786,0.785335762410046,50.9745865958968,50.6723163841808,50.76,2.91896510089264,-2.81465268468424,-3.42835439546901,1.45948255044632,45.9509430576295,45.9882352941176,45.8826815642458,3.04343431064632,-1.64577991205364,-5.94171995736529,1.08954948321138,50.7041831421543,51.1810344827586,50.7680608365019,1.7525331650095,-4.21763460388005,-7.4061633021369,0.921832444794998,48.5251725772221,50.1538461538462,47.7944785276074,1.50054284433087,-2.69420261076738,-4.05934679841447,0.978353934503726,46.0685733642357,47.5291576673866,47.4375,2.61064355134126,-0.241469526995613,-2.59681940201956,4.00994849486018,5.09971024392316,1720,53,1,34,446,4,0.222777222777223,150,17.3896254172199,1,1684,-7.65812938721306,-2.5067927196933,13,4.48106855050023,2.37315114468129,1.59742079370346,16.4026978648374,1
260316_Dupi_NMH_PD_2,cueTask,Dupi,DupiS2,PD,2,9,105742,1,40,346,1274,1274,2036,4072,2036,835.088960944179,0.346,43508.8012186454,2.036,39.6572727165435,41,39.324,1.24310898369359,0.0173806071566116,-4.91110157852384,0.621554491846797,53.895776408021,53.7990654205607,53.904,2.89372802594468,-2.3231328035038,-4.22839370994717,1.44686401297234,55.3960355020099,56.7047619047619,53.404,1.92562888506703,-4.05995567231099,-6.31297480711577,0.962814442533514,32.7844494546917,33,39.048,0.74858745368545,-2.9255607686126,-8.06575650255138,0.374293726842725,37.6610618138766,38.8865979381443,39.628,1.76336323115966,1.82298591281074,-3.73664525953013,0.88168161557983,52.3013924777028,52,52.5260115606936,2.76271090275905,-2.38662534595028,-4.06533840843984,0.955897972354633,51.1679072099685,53.1720930232558,47.5560344827586,1.9412017971969,-2.63454812093092,-6.18224909384867,1.80143526779872,38.1113171640349,38.8865979381443,42.0656167979003,1.24249652155151,0.538698140723417,-4.90225038446529,0.946782349422254,43.5628579859061,43.7504393673111,42.8839103869654,2.26650983375159,2.20452782736798,-3.27627826045871,4.45142531348813,4.38160826854239,518,57,1,42,482,7,0.240759240759241,134,17.9886330377664,1,1152,14.5179282868526,-9.26210592920685,24,8.26579261975734,2.56524637406342,1.9208104674378,17.2254807381385,1
260316_Dupi_NMH_PD_2,cueTask,Dupi,DupiS2,PD,2,10,116988,1,40,406,1238,1238,2184,4368,2184,1193.52202805345,0.406,52217.6908282827,2.184,35.7564969969488,37.7333333333333,33.004,0.923722900305551,0.0727742438752577,-4.76320811669661,0.461861450152775,33.6120804177013,33.8767123287671,33.836,3.23899060236968,4.15606746031974,-1.27249239239139,1.61949530118484,46.2367362953218,46.4,46.656,2.37886621914625,3.65683855649571,-1.67227109016915,1.18943310957313,43.3239418018083,41.6323529411765,44.204,1.78882324128019,4.06148750894677,-1.5917976054039,0.894411620640096,41.2193082146928,41.2234636871508,41.496,2.65716665523953,6.04655375137586,-1.77991429253365,1.32858332761976,30.1811728579025,30.6046511627907,31.0541871921182,3.10824251597343,3.86521006003761,-1.55062111167837,1.26194646148521,46.1075320549754,46.2722772277228,46.5072115384615,2.2260510866701,3.52732707106583,-1.50514134804772,1.85207450410952,43.5554110821817,43.3605442176871,44.1120507399577,2.43968485475192,4.89875030373766,-2.01564290415621,2.30794187259532,45.6089000889767,43.9035294117647,46.5407488986784,1.96311562514861,-0.313992605392867,-3.56427270642007,3.56501797526987,7.23659827373642,210,27,1,48,512,5,0.255744255744256,196,47.5566073407371,1,1986,32.9690760766458,26.3727807347303,21,6.96331616859301,3.02403078262711,2.65961416171231,23.6296140628373,1
